row_id,playerID,year,position,age,avg_salary_year,free_agent_salary,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,ERA,BAOpp,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,won_cy_young,won_mvp,won_gold_glove,won_silver_slugger,all_star
cordefr01_2011,cordefr01,2011,P,36,3318838.249106079,4500000.0,13.0,14.0,211.0,0.0,0.0,0.0,116.0,175.0,66.0,13.0,88.0,159.0,3.0,9.0,5.0,1.0,866.0,186.0,73.0,5.0,6.0,20.0,2.8166666666666664,0.229,627.0,14.0,26.0,2.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
francfr01_2011,francfr01,2011,P,32,3318838.249106079,6000000.0,9.0,11.0,161.0,0.0,0.0,0.0,44.0,138.0,63.0,18.0,51.0,170.0,5.0,7.0,2.0,1.0,642.0,100.0,65.0,4.0,1.0,7.0,3.7133333333333334,0.23566666666666666,458.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
garcifr02_2011,garcifr02,2011,P,35,3318838.249106079,,27.0,18.0,63.0,62.0,0.0,0.0,0.0,379.0,167.0,43.0,102.0,222.0,10.0,10.0,6.0,0.0,1526.0,1.0,175.0,9.0,12.0,27.0,4.2,0.26866666666666666,1079.0,29.0,41.0,3.0,4.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
haranaa01_2011,haranaa01,2011,P,33,3318838.249106079,4000000.0,26.0,28.0,76.0,74.0,2.0,1.0,0.0,500.0,211.0,60.0,139.0,348.0,10.0,18.0,11.0,0.0,1926.0,1.0,226.0,15.0,7.0,32.0,4.390000000000001,0.287,1334.0,19.0,43.0,7.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
hawkila01_2011,hawkila01,2011,P,39,3318838.249106079,3000000.0,4.0,8.0,135.0,0.0,0.0,0.0,11.0,131.0,43.0,10.0,32.0,91.0,4.0,5.0,4.0,0.0,537.0,49.0,46.0,4.0,3.0,11.0,4.33,0.2786666666666667,383.0,10.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
henslcl01_2011,henslcl01,2011,P,32,3318838.249106079,750000.0,9.0,11.0,105.0,9.0,0.0,0.0,7.0,116.0,57.0,12.0,59.0,123.0,5.0,2.0,8.0,0.0,604.0,30.0,61.0,5.0,2.0,10.0,3.6750000000000003,0.219,428.0,6.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
jacksed01_2011,jacksed01,2011,P,28,3318838.249106079,10957715.0,35.0,30.0,97.0,96.0,3.0,2.0,0.0,639.0,274.0,64.0,210.0,490.0,11.0,35.0,13.0,2.0,2653.0,1.0,296.0,25.0,12.0,62.0,3.904000000000001,0.27040000000000003,1869.0,45.0,54.0,12.0,5.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
kurodhi01_2011,kurodhi01,2011,P,36,3318838.249106079,10000000.0,32.0,36.0,84.0,83.0,0.0,0.0,0.0,486.0,192.0,51.0,121.0,407.0,20.0,29.0,11.0,1.0,2133.0,0.0,223.0,22.0,13.0,31.0,3.4066666666666667,0.24666666666666667,1547.0,31.0,73.0,4.0,5.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
lidgebr01_2011,lidgebr01,2011,P,35,3318838.249106079,1000000.0,1.0,11.0,142.0,0.0,0.0,0.0,59.0,120.0,65.0,16.0,71.0,136.0,10.0,9.0,7.0,1.0,562.0,97.0,70.0,8.0,1.0,7.0,3.856666666666667,0.24,371.0,6.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
marquja01_2011,marquja01,2011,P,33,3318838.249106079,,25.0,28.0,69.0,69.0,3.0,2.0,0.0,448.0,205.0,35.0,147.0,222.0,7.0,8.0,17.0,2.0,1784.0,0.0,225.0,22.0,15.0,51.0,6.03,0.31275000000000003,1220.0,31.0,55.0,5.0,5.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
mijarjo01_2011,mijarjo01,2011,P,27,3318838.249106079,925000.0,3.0,5.0,176.0,0.0,0.0,0.0,0.0,137.0,53.0,15.0,62.0,113.0,4.0,2.0,6.0,0.0,620.0,35.0,62.0,3.0,6.0,12.0,3.4133333333333336,0.25566666666666665,430.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
motagu01_2011,motagu01,2011,P,38,3318838.249106079,1000000.0,6.0,9.0,169.0,0.0,0.0,0.0,2.0,173.0,85.0,20.0,76.0,154.0,17.0,9.0,7.0,1.0,834.0,55.0,88.0,6.0,10.0,11.0,3.86,0.23566666666666666,599.0,5.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
motteja01_2011,motteja01,2011,P,29,3318838.249106079,1950000.0,13.0,8.0,203.0,0.0,0.0,0.0,11.0,147.0,60.0,17.0,57.0,171.0,6.0,4.0,7.0,1.0,720.0,54.0,67.0,2.0,9.0,18.0,3.0833333333333335,0.22866666666666666,531.0,19.0,22.0,1.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
owingmi01_2011,owingmi01,2011,P,29,3318838.249106079,500000.0,18.0,14.0,81.0,23.0,0.0,0.0,1.0,210.0,116.0,29.0,112.0,147.0,3.0,5.0,11.0,1.0,958.0,15.0,122.0,9.0,7.0,19.0,4.7700000000000005,0.24733333333333332,648.0,25.0,21.0,3.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
papeljo01_2011,papeljo01,2011,P,31,3318838.249106079,12500014.5,10.0,9.0,194.0,0.0,0.0,0.0,106.0,161.0,64.0,15.0,62.0,239.0,6.0,5.0,9.0,0.0,827.0,166.0,71.0,6.0,3.0,2.0,2.8966666666666665,0.21533333333333335,598.0,8.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
quallch01_2011,quallch01,2011,P,33,3318838.249106079,1150000.0,11.0,14.0,198.0,0.0,0.0,0.0,36.0,211.0,98.0,19.0,48.0,137.0,11.0,10.0,4.0,0.0,804.0,93.0,109.0,12.0,5.0,19.0,5.25,0.29374999999999996,556.0,12.0,27.0,2.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
rauchjo01_2011,rauchjo01,2011,P,33,3318838.249106079,3500000.0,15.0,8.0,187.0,0.0,0.0,0.0,34.0,187.0,76.0,20.0,51.0,131.0,2.0,9.0,4.0,0.0,769.0,84.0,78.0,6.0,5.0,12.0,3.4575,0.262,539.0,10.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
rodrifr03_2011,rodrifr03,2011,P,29,3318838.249106079,8000000.0,13.0,10.0,196.0,0.0,0.0,0.0,83.0,163.0,63.0,14.0,85.0,219.0,14.0,8.0,5.0,1.0,838.0,148.0,70.0,7.0,3.0,6.0,2.7325,0.2225,591.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
romerjc01_2011,romerjc01,2011,P,35,3318838.249106079,750000.0,2.0,0.0,117.0,0.0,0.0,0.0,3.0,71.0,31.0,6.0,57.0,59.0,9.0,0.0,8.0,1.0,360.0,25.0,37.0,4.0,0.0,10.0,3.64,0.258,234.0,5.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
saitota01_2011,saitota01,2011,P,41,3318838.249106079,1750000.0,9.0,8.0,142.0,0.0,0.0,0.0,3.0,112.0,38.0,12.0,51.0,144.0,6.0,5.0,6.0,0.0,569.0,49.0,42.0,4.0,4.0,10.0,2.4299999999999997,0.221,409.0,7.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
saundjo01_2011,saundjo01,2011,P,30,3318838.249106079,6000000.0,37.0,37.0,97.0,97.0,5.0,2.0,0.0,644.0,283.0,83.0,195.0,323.0,7.0,14.0,14.0,1.0,2559.0,0.0,316.0,21.0,17.0,78.0,4.29,0.28200000000000003,1804.0,26.0,106.0,2.0,6.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
sherrge01_2011,sherrge01,2011,P,34,3318838.249106079,1100000.0,6.0,4.0,188.0,0.0,0.0,0.0,21.0,132.0,52.0,11.0,60.0,124.0,9.0,3.0,4.0,0.0,611.0,60.0,53.0,8.0,4.0,7.0,3.185,0.2425,424.0,3.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
sonnaan01_2011,sonnaan01,2011,P,28,3318838.249106079,,9.0,12.0,78.0,26.0,0.0,0.0,1.0,254.0,137.0,40.0,73.0,122.0,7.0,6.0,10.0,0.0,966.0,33.0,147.0,1.0,4.0,19.0,5.586666666666667,0.2873333333333334,649.0,21.0,23.0,3.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
wangch01_2011,wangch01,2011,P,31,3318838.249106079,4000000.0,5.0,9.0,23.0,20.0,0.0,0.0,0.0,133.0,73.0,15.0,32.0,54.0,1.0,5.0,3.0,0.0,470.0,2.0,81.0,5.0,3.0,8.0,6.84,0.3185,313.0,6.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
